ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q9P2M7,287.2,219.1,284.5,223.6,309.8,213.2,272,289,327,300.7,310.7,286.1,132,168.1,155.3
Q2NL82,108,47.4,55.4,96.6,48.7,96.2,85.5,58.4,61.8,90.8,46.6,52.1,47.3,36.7,43.9
O75818,20.3,16.8,10.2,34.9,8.8,13.7,17.8,15.3,15.9,16.4,12.7,14.6,14.8,8.9,13
Q99808,69.8,25.4,33.1,36.8,23.1,60.3,41.2,26.3,25.2,42.6,20.9,29.1,23.5,19.9,16.7
Q5T8P6,130.4,114.9,142.5,110.8,157.8,94.8,136.9,141.3,121.5,136.7,93.4,88.7,38.8,23.9,33.5
Q8NE63,40.5,99.3,41.5,61.6,48.5,36.3,41.7,89.1,44.3,54.2,75,44.9,138.4,226.2,170.9
Q8NAT1,28.7,36.8,15.7,45.3,17,24.8,22.9,44.9,21.1,23.5,42.9,31.4,62.3,98.3,83
Q14674,41.1,40.1,26.7,37.2,28.4,38.8,37.4,27.3,28.3,36.6,28.4,24.6,35.3,19,18.4
Q5VT25,16.2,14.9,16.6,16.9,8,12.6,14.8,19.3,13.1,15.3,15.5,17.7,16.3,23.9,18.7
Q86UY8,87.7,90.1,87.3,200.4,70.9,65.1,80.5,96.4,69.8,62.7,68.5,88.1,114.5,70.2,90.3
P46821,1002.6,742.6,1262.9,620.3,950.7,743,957.3,846.6,1176.9,809.4,1257.2,1416,368.2,462.2,516.1
O00429,204.7,98.4,95.2,92.2,46.5,170.1,182.4,96.2,65.2,145.1,100.1,133.8,128.9,89.9,115.2
Q5VV63,23.2,20.3,26.1,19.5,30.1,25.1,31.2,26.5,38,23.8,24.9,33,14.9,15.5,12
Q8N5S9,43.6,10.9,40.1,9.3,19.9,33,41.8,14.3,16.4,26.9,17,51,12.2,19.5,14.2
Q14137,184.1,80.6,104.9,155.9,107.9,156.1,163.3,93.3,118.9,161.4,60.9,74.5,83.4,75.2,65.7
P63272,57.2,42.1,54.8,43.4,51.4,53.6,58.9,41.4,37.4,51.5,27.4,38.2,14.6,23.9,14.5
P12755,33.5,16.4,21.3,29.2,26.7,33.5,39.9,21.2,26.1,38.3,15.5,17.6,10.3,10.2,8.4
Q96AC1,32,20.5,15.8,31.6,9.2,25.7,22.2,26.2,11.4,29.7,30.3,22.5,28.9,36.5,39.7
Q96P11,27.9,18.7,9.4,54.8,9,21.4,19.3,24,13.1,25.7,9.8,19.2,19.6,9.2,12.1
Q9UNF1,385.6,132.9,323.8,159.4,200.4,296.2,326.5,171.3,164.4,300.8,136.7,402.9,106.6,109.7,118.5
Q99747,201.4,167.5,246.2,144.8,281.5,166.5,225.8,171.3,262.6,218.9,147.2,218.6,98.3,97.8,115.4
P26640,220.7,166.6,116.7,280.5,81,164.1,178.5,199.2,127.3,148.5,171,176.6,221.4,150.7,171.2
Q9Y617,31.6,25.9,38.8,56.2,42.3,17.3,24.5,30.3,34.8,34.4,36.1,58.1,27.2,13.1,19.8
Q15363,426.7,208.9,219.2,669.8,184.3,335.2,388.9,331.6,249.6,297.8,171.8,307.9,320.5,165.4,172.4
O75116,33.4,15,16.9,14.5,12.5,17.5,19.4,13.6,16.3,25.3,11.8,24.2,15.2,13.3,15.5
O75694,603.7,626,301.7,844.5,263.8,496.2,542.6,691.3,355.6,452.6,554.4,469.1,832.2,517.3,549.8
Q86Y07,123.9,203.4,110.4,158.7,143.3,100.6,150,236.3,114.3,112.8,247.7,156.4,192.3,242.3,289.2
Q99697,33.2,12.1,24.4,17.4,19.4,25.3,26.4,15.1,20.8,26.4,9.3,22.9,8,7.4,7.1
Q9UBP0,62.4,33.1,34.5,45,24,41.9,47.6,35.2,21.6,38.8,35.8,40.2,29.6,27,29.5
Q7L2H7,4,3.8,4.5,5.9,4,4,5.8,6.9,9.6,7.4,7.2,8.6,8.9,4.4,9.3
Q92522,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,3.5
Q9BY31,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
Q9HCZ1,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q9BRJ6,175.6,72.4,150.9,57.3,121.6,128.5,158.1,58.9,96.7,125.4,36.5,106.7,36.6,51.2,39.8
P18615,212.3,212,197.4,174.5,219.5,208,249.1,259.5,194.5,239.2,197.7,156.1,111.4,139.1,134.4
Q9P246,115.1,57.3,142.1,68,107,93,112.5,64.5,106.2,114.3,56.2,146.8,49.7,50.7,57.8
Q9H078,172.4,118.6,109.1,228,120.8,147.6,113.7,139.4,109.5,198.3,103.1,121.1,129.1,130.4,128.8
O95819,168.7,130.7,127,188.3,109.6,153.4,142.8,158.6,149.7,161.7,115,129.5,98.9,109.3,108.1
Q9P0T4,42.8,40.7,33.8,34.4,40.6,44.1,41.5,37.3,35.9,46.6,25.7,23,11.4,9.8,11.6
Q8N5Y2,413.5,271.8,347.8,244.7,282.8,315.6,361.1,275,198.4,330.5,230.1,301,150.1,139.5,147.1
P58340,2.8,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0
Q15545,92.3,80.5,79.8,52.3,84.4,85.1,87,62.9,68.6,74.5,61.2,78.2,66.4,88.8,88.2
Q12824,135.7,62.4,63.3,154.2,36.8,114.6,111.5,76.1,60.7,95.7,50.6,75.7,85.1,50.2,68.4
P29375,21.6,16.8,9.2,30,10.9,14.4,19.1,14.3,11.2,16.8,15.4,14.9,17.3,10,11.1
O43765,99.7,43.1,72.1,43.4,62.9,64.9,71.9,45.2,51.8,72.8,37,78.3,34.7,43.4,41.3
Q8NI60,29.1,33,14,55.4,26.4,29.1,26.9,32.9,25.6,27.2,23,23,34.3,47.6,38.7
Q8ND56,96.4,75.6,114.2,97.2,114,79.9,108.9,94,111.7,83.8,110,113.9,32.7,47,44.7
P08559,341.4,357.3,198.6,944.5,182.7,316.2,264.8,433.9,274.7,316.5,270,307.9,408.9,340.5,372.5
Q9UBS0,10.9,6.3,5.5,7.4,3.2,4.5,6,3.8,6.9,7.1,5.4,6.5,7.8,7.4,8.5
Q9NQ29,201.4,199.3,146.9,162,236.2,206.4,213,214.3,192.8,275.8,119.4,110.2,60.9,163.1,115.7
Q9H6E4,36,12.8,20.3,21.7,12.6,22.3,40.4,8.7,15.3,19.3,16.7,24.1,23,18.1,11.6
Q9H2J7,124.1,52.4,88.6,62.7,84,84,100.6,61.6,90.4,62.1,55,94,40.5,41.7,36.1
Q14247,382.2,477.9,588.2,374,741,415.8,377.9,557.2,573.2,693.2,749.2,529,113.3,216.1,113.9
Q9H3H3,27.2,12.5,26.1,21.2,9.8,14.6,22.5,13.9,11.6,16.7,14,31.5,19.1,15.6,19.5
P28288,150.8,123.6,79.3,263.1,77.6,122.4,121.8,140.5,117.5,145.3,100.6,112,146.9,113.6,119.1
Q9UPQ9,455,300.2,534.3,277.1,475.8,383,494.6,338.7,546.9,413.9,427.9,520,85.2,97,95.7
Q92616,1055.1,592.2,426.5,878.5,319.4,898.8,870.1,605.3,373.9,666.9,636.6,633.2,764.1,463.3,515.2
P27708,203,182.7,98.9,186.5,78.2,204.1,199.4,188.4,115.6,196.4,184,143.3,265.1,226.3,245.2
